TIEMPO,ADC,DAC
0.676,1.48,1.616
0.677,1.558,1.541
0.678,1.635,1.887
0.679,1.719,1.522
0.68,1.596,1.596
0.681,1.6,1.622
0.682,1.706,1.98
0.683,1.877,1.883
0.684,1.841,1.729
0.685,1.816,1.948
0.686,1.919,1.993
0.687,1.961,1.974
0.688,1.983,2.029
0.689,2.006,1.996
0.69,1.819,1.299
0.691,1.509,1.551
0.692,1.429,1.151
0.693,1.37,1.709
0.694,1.564,1.525
0.695,1.648,1.958
0.696,1.864,1.951
0.697,1.803,1.467
0.698,1.541,1.39
0.699,1.416,1.306
0.7,1.416,1.635
0.701,1.567,1.625
0.702,1.603,1.603
0.703,1.629,1.706
0.704,1.751,1.967
0.705,1.854,1.77
0.706,1.793,1.774
0.707,1.683,1.409
0.708,1.467,1.351
0.709,1.396,1.441
0.71,1.538,1.867
0.711,1.7,1.587
0.712,1.761,2.132
0.713,1.774,1.161
0.714,1.383,1.348
0.715,1.429,1.648
0.716,1.506,1.345
0.717,1.532,1.9
0.718,1.758,1.754
0.719,1.829,2.038
0.72,1.954,1.958
0.721,1.796,1.325
0.722,1.529,1.609
0.723,1.69,2.029
0.724,1.916,1.97
0.725,1.832,1.483
0.726,1.69,1.912
0.727,1.738,1.493
0.728,1.535,1.393
0.729,1.596,2.032
0.73,1.767,1.487
0.731,1.635,1.764
0.732,1.625,1.383
0.733,1.583,1.896
0.734,1.832,2.003
0.735,1.903,1.796
0.736,1.896,2.074
0.737,1.809,1.248
0.738,1.425,1.322
0.739,1.561,2.08
0.74,1.848,1.774
0.741,1.767,1.67
0.742,1.725,1.783
0.743,1.809,1.961
0.744,1.864,1.725
0.745,1.751,1.69
0.746,1.809,2.074
0.747,1.787,1.258
0.748,1.48,1.551
0.749,1.564,1.706
0.75,1.651,1.645
0.751,1.58,1.39
0.752,1.625,2.103
0.753,1.941,1.996
0.754,2.003,2.077
0.755,1.958,1.693
0.756,1.777,1.735
0.757,1.819,2.019
0.758,1.761,1.245
0.759,1.425,1.367
0.76,1.519,1.912
0.761,1.645,1.322
0.762,1.58,1.964
0.763,1.654,1.2
0.764,1.409,1.516
0.765,1.6,1.967
0.766,1.851,1.922
